"Désignation éprouvette"	"S25D2"
"Temps"	"Force standard"	"Course standard"
"s"	"N"	"mm"
51,7946	40,0386	0,247269
51,8946	40,1087	0,247769
51,9946	40,1799	0,248263
52,0946	40,2539	0,248776
52,1946	40,342	0,249267
52,2946	40,3915	0,249767
52,3946	40,4942	0,250269
52,4946	40,565	0,25076
52,5946	40,6581	0,251277
52,6946	40,7483	0,251768
52,7946	40,7837	0,252265
52,8946	40,8653	0,25277
52,9946	40,9594	0,253261
53,0946	41,0281	0,253774
53,1946	41,0928	0,254268
53,2946	41,1547	0,254762
53,3946	41,22	0,255264
53,4946	41,3018	0,255761
53,5946	41,3551	0,256272
53,6946	41,4296	0,256768
53,7946	41,4785	0,25726
53,8946	41,5671	0,257765
53,9946	41,651	0,258253
54,0946	41,7118	0,258767
54,1946	41,7933	0,259272
54,2946	41,8671	0,259763
54,3946	41,9637	0,260268
54,4946	42,0294	0,260756
54,5946	42,1187	0,261267
54,6946	42,2223	0,261772
54,7946	42,2867	0,262263
54,8946	42,3955	0,262768
54,9946	42,4568	0,263262
55,0946	42,5472	0,263764
55,1946	42,6336	0,264272
55,2946	42,7227	0,264766
55,3946	42,7704	0,265268
55,4946	42,8644	0,265765
55,5946	42,9472	0,266267
55,6946	43,0049	0,266778
55,7946	43,0597	0,267266
55,8946	43,1444	0,267774
55,9946	43,2003	0,268268
56,0946	43,2687	0,268765
56,1946	43,3623	0,269279
56,2946	43,4321	0,269767
56,3946	43,5107	0,270266
56,4946	43,5843	0,270766
56,5946	43,659	0,271263
56,6946	43,7573	0,271779
56,7946	43,8327	0,272267
56,8946	43,8877	0,272767
56,9946	43,9854	0,273269
57,0946	44,0326	0,273763
57,1946	44,1131	0,274279
57,2946	44,2037	0,274768
57,3946	44,282	0,275267
57,4946	44,3636	0,275767
57,5946	44,4437	0,276258
57,6946	44,5278	0,276774
57,7946	44,6075	0,277265
57,8946	44,6946	0,277762
57,9946	44,7694	0,278267
58,0946	44,8395	0,278758
58,1946	44,9074	0,279271
58,2946	44,9766	0,279771
58,3946	45,0409	0,280262
58,4946	45,1209	0,280764
58,5946	45,192	0,281253
58,6946	45,2603	0,281763
58,7946	45,3175	0,282271
58,8946	45,3983	0,282762
58,9946	45,4712	0,283268
59,0946	45,5305	0,283756
59,1946	45,582	0,284264
59,2946	45,645	0,284769
59,3946	45,7555	0,285263
59,4946	45,8441	0,285768
59,5946	45,9365	0,286262
59,6946	46,0149	0,286761
59,7946	46,0952	0,287272
59,8946	46,19	0,287766
